,meaning1,meaning2,realizations
235,breathing,animal,2
236,breathing,person,2
237,breathing,skill,1
238,brick (n.),diamonds (in cards),1
239,bride,daughter-in-law,5
240,"brilliant, glaring",clever,5
241,broken,insane,2
242,broom,comet,1
243,brothel,"disorder, mess",3
244,brother,member of religious organisation,1
245,brother,son,1
246,brown,suntanned,1
247,bug (Heteroptera),short person,1
248,bull,arrogant,1
249,bull,bittern (Botaurus),5
250,bull,bullhead,1
251,bull,moose,1
252,bull,strong man (?),2
253,bully,crested lark,2
254,burdock,importunate,1
255,"bush, shrub",bouquet,1
256,butterfly,anxious,1
257,butterfly,butterfly fish,4
258,buttock,butt of the rifle,1
259,buttock,genitalia,1
260,buttock,lower part,1
261,buttock,wagtail (Motacilla),1
262,button (on a dress),push button,11
263,cage,cell (in biology),3
264,calf of a leg,butt of the rifle,1
265,calm,bear (Ursus),1
266,calm,cheerful,1
267,calm,dead (adj.),4
268,camel,bishop (chess),1
269,camel,glutton,1
270,camel,humpbacked,1
271,camel,ostrich,1
272,camp,army,1
273,"can, to be able",strong,1
274,"can, to be able",to endure,1
275,"can, to be able",to win,2
276,candle,spark plug,2
277,carriage,automobile,6
278,carriage,railcar,7
279,cat,anchor,3
280,cat,catkin,3
281,cat,vagina,3
282,caterpillar,caterpillar track,2
283,cattle,bad person,9
284,cauldron,cannon (weapon),2
285,cauldron,hell,1
286,cauldron,spades (in cards),1
287,cave,den (of thieves etc.),1
288,ceiling,palate,2
289,celery,parsley,1
290,cell (of honeycomb),cell (in biology),6
291,cellar,clandestine activity,1
292,chaff,useless thing,5
293,chameleon,"hypocrite, dissembler",1
294,chameleon,to falsify,1
295,cheap,"vulgar, common",1
296,cheek,jaw,4
297,cheek,mountain slope,3
298,cheek-bone,doorpost,2
299,cheerful,gay,1
300,chest (body part),memory,1
301,chest (body part),mountain slope,5
302,child (son or daughter),bee swarm,2
303,child (son or daughter),interest (finance),9
304,child (son or daughter),little finger,2
305,child (son or daughter),orphan,1
306,child (son or daughter),people (pl.),1
307,child (son or daughter),pupil (of an eye),1
308,chip,spoon,1
309,chopped billet,base for beheading,7
310,cigar,dragonfly,1
311,circle,"apartment, flat",1
312,circle,eye,1
313,circle,finger-ring,2
314,circle,year,1
315,clapper of a bell,penis,2
316,"clasp, buckle",fibula (anat.),3
317,clay,"human temper, character",1
318,clean (adj.),beautiful,2
319,clean (adj.),empty,2
320,clean (adj.),honest,4
321,clean (adj.),saint,1
322,clean (adj.),sober,1
323,clean (adj.),"totally, absolutely",4
324,clever,"doctor, physician",3
325,clever,"grown-up, adult",1
326,clever,old (vs. young),1
327,closed,cloudy,1
328,closed,dark (adj.),2
329,cloud,cataract (of the eye),1
330,cloud,freckle,1
331,clover,clubs (in cards),1
332,coal,anthrax,2
333,coal,smut (plant disease),4
334,cock (of a gun),trigger (of a gun),7
335,cockroach,gay,1
336,cold,calm,1
337,cold,cold (disease),4
338,cold,"fearful, dreadful",1
339,cold,"friendly, amicable",3
340,cold,hostile,6
341,cold,in vain,1
342,cold,indifferent,10
343,cold,unpleasant,3
344,colour,timbre,1
345,comb,"charger, cartridge clip",1
346,comb,honeycomb,1
347,comb,reed (in loom),3
348,comb (of a bird),cap peak,1
349,comet,kite (lightweight toy),2
350,common quail,corn crake,1
351,"common, shared by several people",bad (ethically),2
352,"common, shared by several people",vulgar,3
353,condemned to death,hooligan,1
354,conversation,"custom, habit",1
355,copper,tin (n.),1
356,copper,zinc,1
357,corn crake,lean,1
358,corner,gulf,2
359,corner,jaw,1
360,corner,kneepit,1
361,corpse,bad (ethically),2
362,"corral, enclosure for cattle",herd,1
363,correct (adj.),rich,1
364,cotton,sheep,4
365,"country, land",chapter (of a book),1
366,"country, land","people, nation",3
367,"country, land",village,3
368,"country, land",wife,1
369,court (of a sovereign),tribunal,2
370,"cousin (male, cross-)",fool,1
371,"cover, lid",cover (of a book),1
372,"cover, lid",deck (of a ship),1
373,"cover, lid",eyelid,2
374,cow,squirrel (Sciurus),2
375,crane (Grus),lifting machine,12
376,crane (Grus),pickaxe,1
377,crane (Grus),scatterbrain,1
378,crocodile,dangerous,1
379,crocodile,greedy,1
380,cross (n.),clubs (in cards),8
381,cross (n.),sacrum (bone),1
382,crow,clubs (in cards),1
383,crow,spades (in cards),3
384,crown (n.),comb (of a bird),1
385,crown (n.),queen (bee),1
386,crown (n.),top/crown (of a tree),1
387,cuckoo,Eurasian hoopoe,1
388,cuckoo,ladybird,1
389,curly-headed,Jewish,1
390,currant-bush,buckthorn (Frangula),1
391,curtain,cataract (of the eye),5
392,curved,cunning person,1
393,curved,insane,1
394,curved,lame person,1
395,curved,to be guilty,1
396,"custom, habit",menstruation,1
397,dark (adj.),bad,2
398,dark (adj.),blind,2
399,dark (adj.),gloomy,11
400,dark (adj.),ignorant,13
401,dark (adj.),incomprehensible,10
402,dark (adj.),strong (of liquid or smell),1
403,darkness,west,1
404,daughter,Aloe vera (plant),3
405,daughter,doll,2
406,day,24 hours,7
407,deaf,stupid,15
408,deaf,to grow numb,1
409,deep,dark (adj.),2
410,deep,"earnest, serious",1
411,deep,rich,1
412,deep,saturated (of colour),9
413,deer,horse (Equus caballus),3
414,deer,sheep,2
415,desert (n.),hardship,1
416,dew,rain,4
417,dew,tears,1
418,diamond,rhombus,1
419,difficult,pregnant,1
420,direction,"sense, perception",2
421,dirty,bad (ethically),16
422,dirty,evil spirit,3
423,do not see,"to hate, to dislike",1
424,"dock-tailed, tailless",old (vs. young),1
425,dog,bad person,7
426,dog,cock (of a gun),4
427,dog,horse (Equus caballus),1
428,dog,poisonous,1
429,dog,police officer,5
430,dog,seal (animal),2
431,dog,trigger (of a gun),4
432,dog,whore,4
433,dog,wolf,1
434,doll,larva,1
435,doll,mandrel (technology),1
436,doll,pupil (of an eye),4
437,donkey,fool,15
438,doomsday,"tumult, turmoil",2
439,door,chapter (of a book),6
440,door,kind (n.),1
441,door,"manner, way",2
442,door,mouth (of a river),1
443,door,on the outside,1
444,door,ravine,1
445,door,strait,1
446,dough,money,2
447,dragon,kite (lightweight toy),20
448,drama (theatre),distressing event,1
449,drinking vessel,hearts (in cards),1
450,drone,"idler, loafer",7
451,drop (n.),full stop,1
452,drunk,great bilberry (Vaccinium uliginosum),1
453,dry,abstinent (from alcohol),3
454,dry,bad,1
455,dry,boring,4
456,dry,cruel,1
